iter	RMSE
0	4351.006393
1	4058.075224
2	3801.619031
3	3582.376788
4	3382.819611
5	3204.947609
6	3050.178338
7	2918.374923
8	2799.257361
9	2681.115415
10	2579.248937
11	2493.628765
12	2417.534359
13	2351.041966
14	2294.970493
15	2245.630779
16	2195.049362
17	2151.691776
18	2114.449093
19	2080.355647
20	2049.868741
21	2024.716908
22	2003.99074
23	1984.246131
24	1967.061341
25	1952.015636
26	1939.399851
27	1927.813144
28	1911.761551
29	1896.886037
30	1883.993158
31	1872.688989
32	1862.988992
33	1854.295351
34	1847.491037
35	1840.472822
36	1834.020557
37	1825.836659
38	1820.879668
39	1815.597618
40	1811.406919
41	1806.59616
42	1803.273203
43	1799.463127
44	1796.188845
45	1791.112371
46	1787.276746
47	1784.302524
48	1778.577493
49	1775.646895
50	1772.914794
51	1767.81193
52	1764.847571
53	1761.890783
54	1759.863918
55	1756.934987
56	1754.898693
57	1752.375794
58	1750.517007
59	1746.976451
60	1744.954929
61	1742.953528
62	1741.64971
63	1739.403684
64	1738.239403
65	1736.844542
66	1734.108235
67	1732.426746
68	1730.283066
69	1728.722262
70	1727.059263
71	1725.084661
72	1723.406664
73	1721.106628
74	1719.570529
75	1717.499584
76	1715.951672
77	1714.251752
78	1712.577036
79	1711.453866
80	1710.798007
81	1709.40142
82	1708.4432
83	1706.70027
84	1705.378785
85	1704.29248
86	1702.093293
87	1700.80651
88	1699.718566
89	1697.233005
90	1695.567378
91	1694.593888
92	1693.226411
93	1691.076691
94	1690.312954
95	1689.062838
96	1687.856623
97	1686.178772
98	1684.824375
99	1683.501633
100	1682.266606
101	1681.677768
102	1680.723467
103	1679.713113
104	1678.766882
105	1677.485189
106	1675.814434
107	1674.569448
108	1673.927953
109	1673.443502
110	1671.608494
111	1670.441027
112	1668.897803
113	1668.369793
114	1667.592705
115	1666.329859
116	1665.372633
117	1664.726909
118	1663.82076
119	1662.090576
120	1660.161837
121	1659.525137
122	1658.28441
123	1657.064324
124	1656.458814
125	1654.429803
126	1653.565406
127	1652.908695
128	1651.90973
129	1650.353551
130	1649.374907
131	1648.484673
132	1647.756646
133	1646.659555
134	1646.079166
135	1644.252277
136	1643.229978
137	1642.932724
138	1641.169343
139	1640.533199
140	1639.92632
141	1638.620339
142	1637.703386
143	1637.216551
144	1635.813291
145	1635.23157
146	1634.603211
147	1633.224783
148	1632.696617
149	1631.880705
