iter	Passed	Remaining
0	23	3575
1	49	3647
2	71	3521
3	93	3395
4	116	3365
5	139	3341
6	161	3298
7	181	3218
8	203	3181
9	224	3139
10	243	3076
11	266	3067
12	287	3034
13	307	2983
14	328	2959
15	352	2955
16	372	2912
17	404	2963
18	435	2999
19	460	2996
20	484	2978
21	501	2917
22	518	2864
23	533	2802
24	549	2747
25	566	2702
26	582	2653
27	599	2611
28	616	2570
29	632	2531
30	650	2498
31	668	2465
32	684	2425
33	699	2387
34	718	2360
35	734	2327
36	750	2293
37	768	2264
38	785	2235
39	802	2206
40	822	2186
41	854	2197
42	903	2248
43	943	2273
44	992	2314
45	1012	2289
46	1047	2295
47	1070	2274
48	1090	2247
49	1134	2268
50	1188	2307
51	1208	2278
52	1233	2257
53	1255	2232
54	1282	2214
55	1302	2187
56	1327	2166
57	1352	2145
58	1378	2125
59	1412	2118
60	1497	2184
61	1525	2165
62	1544	2132
63	1563	2101
64	1584	2071
65	1604	2041
66	1622	2009
67	1640	1977
68	1658	1946
69	1676	1915
70	1694	1885
71	1712	1855
72	1731	1826
73	1758	1806
74	1779	1779
75	1795	1748
76	1836	1741
77	1853	1710
78	1869	1679
79	1887	1651
80	1907	1624
81	1926	1597
82	1946	1570
83	1964	1543
84	1983	1516
85	2013	1498
86	2041	1478
87	2059	1450
88	2076	1423
89	2121	1414
90	2183	1415
91	2213	1395
92	2242	1374
93	2268	1351
94	2295	1328
95	2315	1302
96	2347	1282
97	2371	1258
98	2421	1247
99	2448	1224
100	2473	1199
101	2497	1175
102	2522	1151
103	2548	1127
104	2582	1106
105	2621	1088
106	2655	1067
107	2691	1046
108	2730	1027
109	2785	1012
110	2807	986
111	2832	960
112	2873	940
113	2900	915
114	2925	890
115	2944	863
116	2965	836
117	2987	810
118	3004	782
119	3019	754
120	3034	727
121	3050	700
122	3066	673
123	3082	646
124	3099	619
125	3114	593
126	3131	567
127	3148	541
128	3164	515
129	3180	489
130	3196	463
131	3212	438
132	3229	412
133	3244	387
134	3261	362
135	3277	337
136	3292	312
137	3308	287
138	3323	263
139	3340	238
140	3357	214
141	3373	190
142	3389	165
143	3407	141
144	3422	118
145	3439	94
146	3455	70
147	3471	46
148	3488	23
149	3504	0
